customername	Metercategory	Costcategory	Cost
[customername]-66FBEF6B	App Center	Cost after optimization	619.11381999999935
[customername]-66FBEF6B	Automation	Cost after optimization	604.69637048899995
[customername]-66FBEF6B	Azure App Service	Cost after optimization	1066.1862900000012
[customername]-66FBEF6B	Azure Data Factory v2	Cost after optimization	2766.9346760409544
[customername]-66FBEF6B	Azure Purview	Cost after optimization	782.49813703099994
[customername]-66FBEF6B	Log Analytics	Cost after optimization	1189.5556405000605
[customername]-66FBEF6B	Logic Apps	Cost after optimization	636.34887341565491
[customername]-66FBEF6B	Microsoft Fabric	Cost after optimization	1763.7815000000003
[customername]-66FBEF6B	Other	Cost after optimization	1654.7137000178484
[customername]-66FBEF6B	SQL Database	Cost after optimization	26934.621606310102
[customername]-66FBEF6B	Storage	Cost after optimization	4664.9720217810755
[customername]-66FBEF6B	Virtual Machines	Cost after optimization	9843.3806496006873
[customername]-66FBEF6B	Virtual Machines Licenses	Cost after optimization	1488.8891744000005
[customername]-66FBEF6B	Virtual Network	Cost after optimization	1301.6495011215238
[customername]-66FBEF6B	VPN Gateway	Cost after optimization	875.80325999999855
[customername]-FF252CB5	Azure App Service	Cost	14354.481822903108
[customername]-FF252CB5	Azure Database for MySQL	Cost	13964.373151131178
[customername]-FF252CB5	Backup	Cost	4841.0343505191395
[customername]-FF252CB5	Other	Cost	7817.7115872376107
[customername]-FF252CB5	Storage	Cost	139886.47765529639
[customername]-FF252CB5	Virtual Machines	Cost	290076.31145512889
[customername]-FF252CB5	Azure App Service	Cost after optimization	14354.481822903112
[customername]-FF252CB5	Azure Database for MySQL	Cost after optimization	13964.373151131176
[customername]-FF252CB5	Backup	Cost after optimization	4841.0343505191386
[customername]-FF252CB5	Other	Cost after optimization	7817.7115872376107
[customername]-FF252CB5	Storage	Cost after optimization	139886.47765529645
[customername]-FF252CB5	Virtual Machines	Cost after optimization	258243.45344162488
[customername]-CD872C21	Azure Data Factory v2	Cost	10295.811258731934
[customername]-CD872C21	Azure DevOps	Cost	2423.4018552354651
[customername]-CD872C21	Azure Update Manager	Cost	2850.8711661755765
[customername]-CD872C21	Backup	Cost	3962.1143038644877
[customername]-CD872C21	Log Analytics	Cost	21664.770836129297
[customername]-CD872C21	Other	Cost	3960.6730015049707
[customername]-CD872C21	Power BI Embedded	Cost	5772.221586927978
[customername]-CD872C21	SQL Database	Cost	80431.970317249783
[customername]-CD872C21	Storage	Cost	34924.772391369639
[customername]-CD872C21	Virtual Machines	Cost	55772.13782195378
[customername]-CD872C21	Virtual Machines Licenses	Cost	3844.7392158518128
[customername]-CD872C21	Virtual Network	Cost	2374.9664511871329
[customername]-CD872C21	Azure Data Factory v2	Cost after optimization	10295.811258731912
[customername]-CD872C21	Azure DevOps	Cost after optimization	2423.4018552354619
[customername]-CD872C21	Azure Update Manager	Cost after optimization	2850.8711661750699
[customername]-CD872C21	Backup	Cost after optimization	3962.1143038645146
[customername]-CD872C21	Log Analytics	Cost after optimization	21664.770836129312
[customername]-CD872C21	Other	Cost after optimization	3960.6730015050157
[customername]-CD872C21	Power BI Embedded	Cost after optimization	5772.221586927978
[customername]-CD872C21	SQL Database	Cost after optimization	80431.970317249652
[customername]-CD872C21	Storage	Cost after optimization	34924.772391372731
[customername]-CD872C21	Virtual Machines	Cost after optimization	15556.803701055578
[customername]-CD872C21	Virtual Machines Licenses	Cost after optimization	3844.7392158518123
[customername]-CD872C21	Virtual Network	Cost after optimization	2374.9664511871156
[customername]-CBA66E32	API Management	Cost	1192.0496804411989
[customername]-CBA66E32	Azure Cosmos DB	Cost	1296.8917416285788
[customername]-CBA66E32	Azure Database for PostgreSQL	Cost	20083.374597254016
[customername]-CBA66E32	Backup	Cost	2100.6132046542316
[customername]-CBA66E32	Bandwidth	Cost	2190.2707405107139
[customername]-CBA66E32	Event Grid	Cost	1316.5036116892302
[customername]-CBA66E32	Load Balancer	Cost	1444.7449962314195
[customername]-CBA66E32	Log Analytics	Cost	3850.1627489679004
[customername]-CBA66E32	Other	Cost	3586.9246209065027
[customername]-CBA66E32	Redis Cache	Cost	3859.2661247524138
[customername]-CBA66E32	Storage	Cost	23492.675463434323
[customername]-CBA66E32	Virtual Machines	Cost	34307.643644065625
[customername]-CBA66E32	VPN Gateway	Cost	2434.0573365620098
[customername]-CBA66E32	API Management	Cost after optimization	1192.0496804411991
[customername]-CBA66E32	Azure Cosmos DB	Cost after optimization	1296.891741628574
[customername]-CBA66E32	Azure Database for PostgreSQL	Cost after optimization	20083.37459725398
[customername]-CBA66E32	Backup	Cost after optimization	2100.6132046542489
[customername]-CBA66E32	Bandwidth	Cost after optimization	2190.2707405107203
[customername]-CBA66E32	Event Grid	Cost after optimization	1316.5036116892306
[customername]-CBA66E32	Load Balancer	Cost after optimization	1444.7449962314186
[customername]-CBA66E32	Log Analytics	Cost after optimization	3850.1627489679049
[customername]-CBA66E32	Other	Cost after optimization	3586.9246209065
[customername]-CBA66E32	Redis Cache	Cost after optimization	3859.2661247524147
[customername]-CBA66E32	Storage	Cost after optimization	23492.67546343404
[customername]-CBA66E32	Virtual Machines	Cost after optimization	22854.572387576707
[customername]-CBA66E32	VPN Gateway	Cost after optimization	2434.0573365620094
[customername]-D70A78C9	Azure App Service	Cost	112230.99396102365
[customername]-D70A78C9	Azure Data Factory v2	Cost	79912.857838572236
[customername]-D70A78C9	Azure Databricks	Cost	1250942.356791873
[customername]-D70A78C9	Azure DevOps	Cost	58089.937903350248
[customername]-D70A78C9	Azure Firewall	Cost	173497.04247461841
[customername]-D70A78C9	Azure Monitor	Cost	129277.0345542955
[customername]-D70A78C9	Azure Purview	Cost	51922.541194138408
[customername]-D70A78C9	Log Analytics	Cost	77229.66867421224
[customername]-D70A78C9	Microsoft Defender for Cloud	Cost	95299.706753030987
[customername]-D70A78C9	Other	Cost	193806.42508259823
[customername]-D70A78C9	Sentinel	Cost	58520.584861048352
[customername]-D70A78C9	SQL Database	Cost	57937.781497182194
[customername]-D70A78C9	Storage	Cost	644463.0722848163
[customername]-D70A78C9	Virtual Machines	Cost	685001.65706307639
[customername]-D70A78C9	Virtual Network	Cost	291700.48579365585
[customername]-D70A78C9	Azure App Service	Cost after optimization	112230.99396102369
[customername]-D70A78C9	Azure Data Factory v2	Cost after optimization	79912.857838572265
[customername]-D70A78C9	Azure Databricks	Cost after optimization	1250942.3567918728
[customername]-D70A78C9	Azure DevOps	Cost after optimization	58089.937903349972
[customername]-D70A78C9	Azure Firewall	Cost after optimization	173497.04247461801
[customername]-D70A78C9	Azure Monitor	Cost after optimization	129277.034554293
[customername]-D70A78C9	Azure Purview	Cost after optimization	51922.541194138408
[customername]-D70A78C9	Log Analytics	Cost after optimization	77229.66867421224
[customername]-D70A78C9	Microsoft Defender for Cloud	Cost after optimization	95299.706753028149
[customername]-D70A78C9	Other	Cost after optimization	193806.4250825971
[customername]-D70A78C9	Sentinel	Cost after optimization	58520.584861048352
[customername]-D70A78C9	SQL Database	Cost after optimization	57937.781497182179
[customername]-D70A78C9	Storage	Cost after optimization	637003.07228488429
[customername]-D70A78C9	Virtual Machines	Cost after optimization	539511.92569804599
[customername]-D70A78C9	Virtual Network	Cost after optimization	291700.485793659
[customername]-D226A04D	Application Gateway	Cost	1016081.7341519764
[customername]-D226A04D	Azure App Service	Cost	6681043.9410508797
[customername]-D226A04D	Azure Cognitive Search	Cost	2013515.7114829405
[customername]-D226A04D	Azure Cosmos DB	Cost	1283135.2872589866
[customername]-D226A04D	Azure DevOps	Cost	1280570.0172046483
[customername]-D226A04D	Azure Firewall	Cost	1390980.8647881029
[customername]-D226A04D	Azure Front Door Service	Cost	1454412.1975226882
[customername]-D226A04D	Backup	Cost	2361861.8559185802
[customername]-D226A04D	Bandwidth	Cost	2995243.6399176926
[customername]-D226A04D	Content Delivery Network	Cost	1214541.7152262419
[customername]-D226A04D	Functions	Cost	1453380.5336688128
[customername]-D226A04D	GitHub	Cost	836534.96332145948
[customername]-D226A04D	Log Analytics	Cost	5881910.9813907836
[customername]-D226A04D	Microsoft Defender for Cloud	Cost	3240136.1436735839
[customername]-D226A04D	Other	Cost	5536217.5126543259
[customername]-D226A04D	SQL Database	Cost	10519249.743211053
[customername]-D226A04D	Storage	Cost	9478009.7126867697
[customername]-D226A04D	Virtual Machines	Cost	8423440.5023300778
[customername]-D226A04D	Virtual Machines Licenses	Cost	1472423.5429245573
[customername]-D226A04D	Virtual WAN	Cost	791362.42065586103
[customername]-D226A04D	Visual Studio Subscription	Cost	1972833.2436080081
[customername]-D226A04D	Application Gateway	Cost after optimization	1016081.7341519832
[customername]-D226A04D	Azure App Service	Cost after optimization	6662567.9410508443
[customername]-D226A04D	Azure Cognitive Search	Cost after optimization	2013515.7114829407
[customername]-D226A04D	Azure Cosmos DB	Cost after optimization	1267762.2872589822
[customername]-D226A04D	Azure DevOps	Cost after optimization	1280570.0172046728
[customername]-D226A04D	Azure Firewall	Cost after optimization	1390980.8647880808
[customername]-D226A04D	Azure Front Door Service	Cost after optimization	1454412.1975226765
[customername]-D226A04D	Backup	Cost after optimization	2361861.8559185518
[customername]-D226A04D	Bandwidth	Cost after optimization	2995243.6399176437
[customername]-D226A04D	Content Delivery Network	Cost after optimization	1214541.7152262332
[customername]-D226A04D	Functions	Cost after optimization	1453380.5336688107
[customername]-D226A04D	GitHub	Cost after optimization	836534.96332146111
[customername]-D226A04D	Log Analytics	Cost after optimization	5881910.9813907892
[customername]-D226A04D	Microsoft Defender for Cloud	Cost after optimization	3240136.1436736202
[customername]-D226A04D	Other	Cost after optimization	5536217.5126551706
[customername]-D226A04D	SQL Database	Cost after optimization	10519249.743210835
[customername]-D226A04D	Storage	Cost after optimization	9470062.7126881555
[customername]-D226A04D	Virtual Machines	Cost after optimization	1964878.4639587775
[customername]-D226A04D	Virtual Machines Licenses	Cost after optimization	1472423.5429245885
[customername]-D226A04D	Virtual WAN	Cost after optimization	791362.42065586732
[customername]-D226A04D	Visual Studio Subscription	Cost after optimization	1972833.2436080084
[customername]-17C145B4	Application Gateway	Cost	4891.0884219787022
[customername]-17C145B4	Azure Cosmos DB	Cost	12136.813648398233
[customername]-17C145B4	Backup	Cost	4118.3005261020171
[customername]-17C145B4	Bandwidth	Cost	6571.0074526868548
[customername]-17C145B4	Container Registry	Cost	2445.0066052992688
[customername]-17C145B4	Load Balancer	Cost	2088.654273551168
[customername]-17C145B4	Logic Apps	Cost	2232.5117663168371
[customername]-17C145B4	Other	Cost	3864.5909000604556
[customername]-17C145B4	SQL Database	Cost	3893.0318790322463
[customername]-17C145B4	Storage	Cost	29420.498093772192
[customername]-17C145B4	Virtual Machines	Cost	67387.345286299023
[customername]-17C145B4	Virtual Network	Cost	6822.237827881444
[customername]-17C145B4	Application Gateway	Cost after optimization	4891.0884219786885
[customername]-17C145B4	Azure Cosmos DB	Cost after optimization	12136.813648393965
[customername]-17C145B4	Backup	Cost after optimization	4118.3005261019953
[customername]-17C145B4	Bandwidth	Cost after optimization	6571.0074526868493
[customername]-17C145B4	Container Registry	Cost after optimization	2445.0066052992574
[customername]-17C145B4	Load Balancer	Cost after optimization	2088.654273551168
[customername]-17C145B4	Logic Apps	Cost after optimization	2232.511766316848
[customername]-17C145B4	Other	Cost after optimization	3864.5909000604015
[customername]-17C145B4	SQL Database	Cost after optimization	3893.0318790322572
[customername]-17C145B4	Storage	Cost after optimization	29420.498093773254
[customername]-17C145B4	Virtual Machines	Cost after optimization	58328.093143686361
[customername]-17C145B4	Virtual Network	Cost after optimization	6822.2378278814904
[customername]-D189DCD7	API Management	Cost	415.10399999999998
[customername]-D189DCD7	Azure App Service	Cost	206.66879999999966
[customername]-D189DCD7	Azure Arc	Cost	2196.2092799999909
[customername]-D189DCD7	Log Analytics	Cost	758.79271403983478
[customername]-D189DCD7	Other	Cost	41.160453896840011
[customername]-D189DCD7	Storage	Cost	804.06610488299907
[customername]-D189DCD7	API Management	Cost after optimization	415.10399999999998
[customername]-D189DCD7	Azure App Service	Cost after optimization	206.66879999999966
[customername]-D189DCD7	Azure Arc	Cost after optimization	2196.2092799999909
[customername]-D189DCD7	Log Analytics	Cost after optimization	758.79271403983478
[customername]-D189DCD7	Other	Cost after optimization	41.160453896840011
[customername]-D189DCD7	Storage	Cost after optimization	804.06610488299907
[customername]-890E4584	Microsoft Defender for Cloud	Cost	35.581844659645348
[customername]-890E4584	Other	Cost	1.9633534000000012E-4
[customername]-890E4584	Storage	Cost	1.3030220044999978
[customername]-890E4584	Virtual Network	Cost	12.370799999999994
[customername]-890E4584	Microsoft Defender for Cloud	Cost after optimization	35.581844659645348
[customername]-890E4584	Other	Cost after optimization	1.9633534000000012E-4
[customername]-890E4584	Storage	Cost after optimization	1.3030220044999978
[customername]-890E4584	Virtual Network	Cost after optimization	12.370799999999994
[customername]-26E1FEA2	API Management	Cost	19746.305824522886
[customername]-26E1FEA2	Azure Analysis Services	Cost	26085.639150917174
[customername]-26E1FEA2	Azure App Service	Cost	153893.00980596981
[customername]-26E1FEA2	Azure Cognitive Search	Cost	23143.451179316213
[customername]-26E1FEA2	Azure Cosmos DB	Cost	14954.247956933103
[customername]-26E1FEA2	Azure Data Factory v2	Cost	33882.497101263747
[customername]-26E1FEA2	Azure Databricks	Cost	93077.107576152033
[customername]-26E1FEA2	Azure DevOps	Cost	21312.618498639702
[customername]-26E1FEA2	Azure Front Door Service	Cost	29545.454973048756
[customername]-26E1FEA2	Data Lake Store	Cost	67128.440630715399
[customername]-26E1FEA2	Functions	Cost	15692.113945534089
[customername]-26E1FEA2	Log Analytics	Cost	40558.022342827833
[customername]-26E1FEA2	Microsoft Defender for Cloud	Cost	13056.477510234045
[customername]-26E1FEA2	Other	Cost	55467.052736422011
[customername]-26E1FEA2	SQL Database	Cost	33123.814024990279
[customername]-26E1FEA2	Storage	Cost	155120.27295099982
[customername]-26E1FEA2	Virtual Machines	Cost	145105.66794251144
[customername]-26E1FEA2	API Management	Cost after optimization	19746.305824523377
[customername]-26E1FEA2	Azure Analysis Services	Cost after optimization	26085.639150917159
[customername]-26E1FEA2	Azure App Service	Cost after optimization	153893.00980596541
[customername]-26E1FEA2	Azure Cognitive Search	Cost after optimization	23143.451179316093
[customername]-26E1FEA2	Azure Cosmos DB	Cost after optimization	13585.247956933828
[customername]-26E1FEA2	Azure Data Factory v2	Cost after optimization	33882.49710126342
[customername]-26E1FEA2	Azure Databricks	Cost after optimization	93077.107576151728
[customername]-26E1FEA2	Azure DevOps	Cost after optimization	21312.61849863948
[customername]-26E1FEA2	Azure Front Door Service	Cost after optimization	29545.454973040272
[customername]-26E1FEA2	Data Lake Store	Cost after optimization	67128.440630715137
[customername]-26E1FEA2	Functions	Cost after optimization	15692.113945533847
[customername]-26E1FEA2	Log Analytics	Cost after optimization	40558.022342828175
[customername]-26E1FEA2	Microsoft Defender for Cloud	Cost after optimization	13056.477510235334
[customername]-26E1FEA2	Other	Cost after optimization	55467.052736420068
[customername]-26E1FEA2	SQL Database	Cost after optimization	33123.814024989202
[customername]-26E1FEA2	Storage	Cost after optimization	140684.27295140567
[customername]-26E1FEA2	Virtual Machines	Cost after optimization	119765.12535363258
[customername]-E12862E5	Azure App Service	Cost	1146.0028372194347
[customername]-E12862E5	Backup	Cost	1752.1928215245332
[customername]-E12862E5	Other	Cost	1491.1341248582648
[customername]-E12862E5	SQL Database	Cost	853.44879500856268
[customername]-E12862E5	Storage	Cost	26589.960371391106
[customername]-E12862E5	Virtual Machines	Cost	38601.100594712771
[customername]-E12862E5	Virtual Machines Licenses	Cost	3385.4551262919804
[customername]-E12862E5	Visual Studio Subscription	Cost	11281.977022686697
[customername]-E12862E5	Azure App Service	Cost after optimization	1146.0028372194354
[customername]-E12862E5	Backup	Cost after optimization	1752.1928215245262
[customername]-E12862E5	Other	Cost after optimization	1491.1341248582687
[customername]-E12862E5	SQL Database	Cost after optimization	853.4487950085628
[customername]-E12862E5	Storage	Cost after optimization	26589.960371390785
[customername]-E12862E5	Virtual Machines	Cost after optimization	21950.642230483834
[customername]-E12862E5	Virtual Machines Licenses	Cost after optimization	3385.4551262919535
[customername]-E12862E5	Visual Studio Subscription	Cost after optimization	11281.977022686702
[customername]-50729A6B	Azure App Service	Cost	576824.75656421774
[customername]-50729A6B	Azure DDOS Protection	Cost	133197.41241299702
[customername]-50729A6B	Azure DevOps	Cost	211854.94269677735
[customername]-50729A6B	Azure Firewall	Cost	66817.882390702842
[customername]-50729A6B	Azure Monitor	Cost	86173.657950216861
[customername]-50729A6B	Azure Synapse Analytics	Cost	143195.72377217846
[customername]-50729A6B	Backup	Cost	135602.52180851181
[customername]-50729A6B	ExpressRoute	Cost	142643.66488500574
[customername]-50729A6B	Log Analytics	Cost	202842.65354160918
[customername]-50729A6B	Microsoft Defender for Cloud	Cost	231655.64529326497
[customername]-50729A6B	Other	Cost	329026.44105248404
[customername]-50729A6B	Sentinel	Cost	314344.77944909624
[customername]-50729A6B	SQL Database	Cost	139159.09016827637
[customername]-50729A6B	SQL Managed Instance	Cost	76650.676921769787
[customername]-50729A6B	Storage	Cost	842261.80607500009
[customername]-50729A6B	Virtual Machines	Cost	497043.89611197554
[customername]-50729A6B	Virtual Machines Licenses	Cost	194455.67778674292
[customername]-50729A6B	Virtual Network	Cost	57602.595068558963
[customername]-50729A6B	Azure App Service	Cost after optimization	558649.75656414148
[customername]-50729A6B	Azure DDOS Protection	Cost after optimization	133197.41241300129
[customername]-50729A6B	Azure DevOps	Cost after optimization	211854.94269677642
[customername]-50729A6B	Azure Firewall	Cost after optimization	66817.882390702478
[customername]-50729A6B	Azure Monitor	Cost after optimization	86173.65795021024
[customername]-50729A6B	Azure Synapse Analytics	Cost after optimization	143195.72377218714
[customername]-50729A6B	Backup	Cost after optimization	135602.52180850826
[customername]-50729A6B	ExpressRoute	Cost after optimization	142643.66488500638
[customername]-50729A6B	Log Analytics	Cost after optimization	202842.65354161008
[customername]-50729A6B	Microsoft Defender for Cloud	Cost after optimization	231655.6452934542
[customername]-50729A6B	Other	Cost after optimization	329026.44105247501
[customername]-50729A6B	Sentinel	Cost after optimization	314344.77944909642
[customername]-50729A6B	SQL Database	Cost after optimization	139159.09016827823
[customername]-50729A6B	SQL Managed Instance	Cost after optimization	54009.676921770006
[customername]-50729A6B	Storage	Cost after optimization	827960.8060750342
[customername]-50729A6B	Virtual Machines	Cost after optimization	390335.38574415731
[customername]-50729A6B	Virtual Machines Licenses	Cost after optimization	194455.67778674205
[customername]-50729A6B	Virtual Network	Cost after optimization	57602.595068568553
[customername]-13CBAE19	API Management	Cost	81308.716217100664
[customername]-13CBAE19	Azure Analysis Services	Cost	154159.26902393455
[customername]-13CBAE19	Azure App Service	Cost	749711.54937430844
[customername]-13CBAE19	Azure Cosmos DB	Cost	229737.87735662708
[customername]-13CBAE19	Azure Data Factory v2	Cost	85451.209993627155
[customername]-13CBAE19	Azure Databricks	Cost	292083.23809708311
[customername]-13CBAE19	Azure DevOps	Cost	75825.093448697226
[customername]-13CBAE19	Azure Monitor	Cost	371050.46149474871
[customername]-13CBAE19	Azure Synapse Analytics	Cost	112081.10022037878
[customername]-13CBAE19	Backup	Cost	101130.32881822603
[customername]-13CBAE19	Log Analytics	Cost	254118.04165168048
[customername]-13CBAE19	Microsoft Defender for Cloud	Cost	95947.688261242642
[customername]-13CBAE19	Other	Cost	423828.29860934307
[customername]-13CBAE19	Redis Cache	Cost	64820.8931529408
[customername]-13CBAE19	Sentinel	Cost	58576.791688148995
[customername]-13CBAE19	SQL Database	Cost	229502.22893106652
[customername]-13CBAE19	SQL Managed Instance	Cost	103264.3588514185
[customername]-13CBAE19	Storage	Cost	1084979.4544724552
[customername]-13CBAE19	Virtual Machines	Cost	764528.35450627492
[customername]-13CBAE19	Virtual Network	Cost	107003.46117818127
[customername]-13CBAE19	API Management	Cost after optimization	81308.716217100649
[customername]-13CBAE19	Azure Analysis Services	Cost after optimization	154159.26902393461
[customername]-13CBAE19	Azure App Service	Cost after optimization	748442.54937431111
[customername]-13CBAE19	Azure Cosmos DB	Cost after optimization	229126.87735662362
[customername]-13CBAE19	Azure Data Factory v2	Cost after optimization	85451.20999362733
[customername]-13CBAE19	Azure Databricks	Cost after optimization	292083.23809708364
[customername]-13CBAE19	Azure DevOps	Cost after optimization	75825.09344869724
