CustomerName	month	metercategory	pretaxcost
[CustomerName]-DCB49AE5	11/1/2024	Azure Arc Enabled Databases	0
[CustomerName]-02D80417	6/1/2024	Azure Monitor	0
[CustomerName]-01FE71E8	9/1/2024	Virtual Machines	37822.9098
[CustomerName]-E5C3446F	9/1/2024	VPN Gateway	1035
[CustomerName]-FA630340	12/1/2023	Network Watcher	3.266560114
[CustomerName]-CBA66E32	8/1/2024	Virtual Machines	2438.507581
[CustomerName]-9A49C9D4	11/1/2024	Virtual Network	664.8166822
[CustomerName]-DCB49AE5	11/1/2024	Bandwidth	0.985260189
[CustomerName]-9A49C9D4	12/1/2024	Azure Monitor	1.296324735
[CustomerName]-D70A78C9	2/1/2024	Virtual Machines	41439.83732
[CustomerName]-D226A04D	6/1/2024	Azure App Service	581185.8735
[CustomerName]-D70A78C9	4/1/2024	Azure Firewall	5101.444367
[CustomerName]-01FE71E8	7/1/2024	ExpressRoute	1427.951569
[CustomerName]-FA630340	3/1/2024	Container Registry	38.5737046
[CustomerName]-D226A04D	7/1/2024	Azure Update Manager	0
[CustomerName]-DCB49AE5	11/1/2024	Azure Firewall	833.5004358
[CustomerName]-0DE7667B	7/1/2024	Log Analytics	1270.980568
[CustomerName]-50729A6B	5/1/2024	Cognitive Services	28.63836
[CustomerName]-FA630340	7/1/2024	Microsoft Defender for Cloud	4186.94826
[CustomerName]-D226A04D	5/1/2024	Backup	207754.0909
[CustomerName]-E5C3446F	7/1/2024	Application Gateway	2423.0592
[CustomerName]-50729A6B	6/1/2024	Azure Firewall	3698.413426
[CustomerName]-26E1FEA2	5/1/2024	Azure Cognitive Search	1826.561798
[CustomerName]-FA630340	12/1/2023	Azure Synapse Analytics	6630.39664
[CustomerName]-E5C3446F	11/1/2024	Azure Database for MySQL	2368.229633
[CustomerName]-FA630340	7/1/2024	App Center	117.1183822
[CustomerName]-D70A78C9	1/1/2024	Storage	38448.28736
[CustomerName]-17C145B4	8/1/2024	Sentinel	0.689327054
[CustomerName]-725D082E	6/1/2024	Azure DNS	343.2301852
[CustomerName]-17C145B4	5/1/2024	Key Vault	0.92386745
[CustomerName]-53475226	4/1/2024	Log Analytics	19.20034706
[CustomerName]-53475226	7/1/2024	Microsoft Defender for Cloud	719.7373467
[CustomerName]-50729A6B	6/1/2024	App Configuration	77.76
[CustomerName]-D70A78C9	3/1/2024	Cognitive Services	56.54419006
[CustomerName]-725D082E	9/1/2024	Log Analytics	1861.452037
[CustomerName]-D226A04D	9/1/2024	Azure Active Directory B2C	0.314421
[CustomerName]-A6B2FA46	8/1/2024	Key Vault	4.58E-05
[CustomerName]-FA630340	2/1/2024	Data Lake Store	423.7353229
[CustomerName]-E5C3446F	4/1/2024	Azure Bastion	157.32
[CustomerName]-D226A04D	6/1/2024	Event Hubs	570.8184575
[CustomerName]-A21812C1	9/1/2024	SaaS	3793.09035
[CustomerName]-FA630340	12/1/2023	Azure Cosmos DB	14138.80602
[CustomerName]-0DE7667B	9/1/2024	API Management	1139.292151
[CustomerName]-50729A6B	5/1/2024	VPN Gateway	1939.69728
[CustomerName]-CBA66E32	6/1/2024	Content Delivery Network	0.56351071
[CustomerName]-CBA66E32	9/1/2024	Azure Cosmos DB	35.34267567
[CustomerName]-50729A6B	3/1/2024	Azure Grafana Service	71.1288
[CustomerName]-FA630340	10/1/2024	Key Vault	11.62083822
[CustomerName]-A6B2FA46	7/1/2024	Azure Bastion	132.6311934
[CustomerName]-D226A04D	10/1/2023	Azure Monitor	8325.465023
[CustomerName]-17C145B4	4/1/2024	VPN Gateway	115.344
[CustomerName]-D70A78C9	2/1/2024	ExpressRoute	149.0989841
[CustomerName]-50729A6B	7/1/2024	Sentinel	4411.941587
[CustomerName]-53475226	12/1/2024	Key Vault	0.79363673
[CustomerName]-CD872C21	8/1/2024	Service Bus	3.99E-04
[CustomerName]-A21812C1	9/1/2024	Azure Database for MySQL	56.31336388
[CustomerName]-E5C3446F	6/1/2024	Logic Apps	0.175759962
[CustomerName]-D226A04D	3/1/2024	SQL Database	804974.1353
[CustomerName]-9A49C9D4	4/1/2024	Azure Policy	0
[CustomerName]-9A49C9D4	7/1/2024	Log Analytics	2093.21324
[CustomerName]-50729A6B	6/1/2024	Event Hubs	69.98400012
[CustomerName]-01FE71E8	6/1/2024	Virtual Machines Licenses	1730.500985
[CustomerName]-D70A78C9	6/1/2024	Service Bus	48.41451284
[CustomerName]-01FE71E8	5/1/2024	Bandwidth	2659.344539
[CustomerName]-01FE71E8	2/1/2024	Backup	4227.443522
[CustomerName]-D1E775A0	2/1/2024	Data Lake Store	0.205091352
[CustomerName]-A6B2FA46	5/1/2024	Microsoft Defender for Cloud	932.8527636
[CustomerName]-02D80417	12/1/2023	Logic Apps	169.5154762
[CustomerName]-0DE7667B	11/1/2024	Event Grid	0.142955142
[CustomerName]-01FE71E8	2/1/2024	Virtual Machine Licenses	222.1326445
[CustomerName]-E5C3446F	8/1/2024	Azure Grafana Service	76.1484
[CustomerName]-FA630340	6/1/2024	Traffic Manager	20.12039779
[CustomerName]-D226A04D	10/1/2023	Storage	529255.8613
[CustomerName]-CD872C21	2/1/2024	Azure Update Manager	299.1753634
[CustomerName]-725D082E	5/1/2024	SQL Database	70.22893258
[CustomerName]-FA630340	7/1/2024	Log Analytics	15156.70101
[CustomerName]-D226A04D	8/1/2024	Azure DDOS Protection	35239.60547
[CustomerName]-E5C3446F	7/1/2024	Log Analytics	5798.291794
[CustomerName]-53475226	9/1/2024	SQL Database	4010.962777
[CustomerName]-53475226	1/1/2024	Azure Bastion	132.2832
[CustomerName]-FA630340	4/1/2024	Azure Databricks	20606.59161
[CustomerName]-E5C3446F	1/1/2024	Load Balancer	426.5128962
[CustomerName]-50729A6B	5/1/2024	Bandwidth	463.7869185
[CustomerName]-50729A6B	1/1/2024	Azure Database for MySQL	70.386192
[CustomerName]-A21812C1	4/1/2024	Network Watcher	9.23E-04
[CustomerName]-50729A6B	7/1/2024	SignalR	0
[CustomerName]-725D082E	12/1/2024	Network Watcher	4.560339687
[CustomerName]-D70A78C9	5/1/2024	Sentinel	3364.43
[CustomerName]-17C145B4	8/1/2024	Azure Monitor	21.8348218
[CustomerName]-D226A04D	12/1/2023	Redis Cache	41667.52668
[CustomerName]-CD872C21	5/1/2024	Azure Database for PostgreSQL	146.0613296
[CustomerName]-E5C3446F	10/1/2024	Key Vault	3.45579945
[CustomerName]-50729A6B	2/1/2024	Backup	7301.457903
[CustomerName]-FA630340	4/1/2024	Azure Active Directory B2C	1.545920488
[CustomerName]-26E1FEA2	4/1/2024	Azure Arc	34.46904003
[CustomerName]-D226A04D	6/1/2024	Container Instances	618.3961305
[CustomerName]-D226A04D	9/1/2024	Virtual WAN	53776.0088
[CustomerName]-A21812C1	11/1/2024	Service Bus	8.963105617
[CustomerName]-FA630340	4/1/2024	Azure Policy	0
[CustomerName]-A6B2FA46	7/1/2024	Application Gateway	1194.323288
[CustomerName]-E5C3446F	4/1/2024	Functions	0
[CustomerName]-01FE71E8	8/1/2024	SQL Database	210.8461626
[CustomerName]-0DE7667B	12/1/2024	Azure DevOps	518.5594221
[CustomerName]-DCB49AE5	10/1/2024	VPN Gateway	0
[CustomerName]-FA630340	3/1/2024	Functions	128.996261
[CustomerName]-CBA66E32	12/1/2023	Bandwidth	236.054803
[CustomerName]-E12862E5	7/1/2024	Visual Studio Subscription	674.0626317
[CustomerName]-D226A04D	5/1/2024	Virtual Network	58256.63118
[CustomerName]-01FE71E8	1/1/2024	Virtual Machines Licenses	1730.901307
[CustomerName]-FA630340	7/1/2024	Machine Learning Studio	16.84616183
[CustomerName]-FA630340	2/1/2024	Microsoft Entra Domain Services	86.98791499
[CustomerName]-50729A6B	8/1/2024	Azure Cognitive Search	1026.89856
[CustomerName]-DCB49AE5	2/1/2024	Logic Apps	8.71E-03
[CustomerName]-E5C3446F	11/1/2024	Bandwidth	3.807740365
[CustomerName]-50729A6B	10/1/2024	Automation	0
[CustomerName]-01FE71E8	3/1/2024	NAT Gateway	285.3759534
[CustomerName]-D70A78C9	4/1/2024	Azure Database for MySQL	257.2149182
[CustomerName]-26E1FEA2	3/1/2024	Bandwidth	85.21355066
[CustomerName]-01FE71E8	2/1/2024	Azure Firewall	1525.348881
[CustomerName]-DCB49AE5	11/1/2024	Backup	7.291079777
[CustomerName]-53475226	8/1/2024	API Management	45.8304
[CustomerName]-17C145B4	4/1/2024	Azure Grafana Service	10.12
[CustomerName]-53475226	3/1/2024	Log Analytics	51.84402391
[CustomerName]-17C145B4	2/1/2024	Azure Database for MySQL	1.917353226
[CustomerName]-01FE71E8	2/1/2024	App Configuration	0
[CustomerName]-D226A04D	4/1/2024	Functions	84497.23325
[CustomerName]-FA630340	5/1/2024	Load Balancer	1846.283804
[CustomerName]-D70A78C9	1/1/2024	Service Bus	50.43869633
[CustomerName]-53475226	9/1/2024	Service Bus	6.40E-05
[CustomerName]-D70A78C9	6/1/2024	SQL Database	3212.308172
[CustomerName]-D226A04D	11/1/2023	Azure Load Testing	684.1308446
[CustomerName]-725D082E	9/1/2024	Container Instances	77.19028837
[CustomerName]-50729A6B	1/1/2024	VPN Gateway	1939.69728
[CustomerName]-E12862E5	10/1/2024	Bandwidth	15.85994775
[CustomerName]-50729A6B	6/1/2024	Virtual Machines Licenses	3217.279459
[CustomerName]-50729A6B	1/1/2024	Azure DevOps	7419.917419
[CustomerName]-D226A04D	9/1/2024	Azure Active Directory for External Identities	27.52755855
[CustomerName]-50729A6B	2/1/2024	Azure NetApp Files	2481.578312
[CustomerName]-E12862E5	11/1/2024	Virtual Machines Licenses	0
[CustomerName]-0DE7667B	2/1/2024	Key Vault	1.98747647
[CustomerName]-D189DCD7	8/1/2024	Log Analytics	250.8546776
[CustomerName]-FA630340	12/1/2023	Load Balancer	1731.555975
[CustomerName]-D1E775A0	10/1/2024	Azure Maps	12.08973268
[CustomerName]-50729A6B	9/1/2024	Azure Front Door Service	428.9041703
[CustomerName]-A21812C1	9/1/2024	VPN Gateway	439.8921833
[CustomerName]-50729A6B	1/1/2024	Virtual Machines Licenses	17281.20034
[CustomerName]-A6B2FA46	9/1/2024	Virtual Machines Licenses	0
[CustomerName]-0DE7667B	9/1/2024	Azure Monitor	7.471775806
[CustomerName]-D226A04D	9/1/2024	NAT Gateway	757.2515397
[CustomerName]-01FE71E8	10/1/2024	Virtual Network	1405.772539
[CustomerName]-17C145B4	9/1/2024	SQL Database	284.858129
[CustomerName]-D226A04D	4/1/2024	GitHub	115450.872
[CustomerName]-D70A78C9	2/1/2024	Storage	37913.86353
[CustomerName]-D226A04D	2/1/2024	Microsoft Defender for Cloud	228941.7479
[CustomerName]-A6B2FA46	9/1/2024	VPN Gateway	571.8421683
[CustomerName]-17C145B4	6/1/2024	Key Vault	0.91128323
[CustomerName]-17C145B4	7/1/2024	Logic Apps	197.4536136
[CustomerName]-26E1FEA2	7/1/2024	Insight and Analytics	0
[CustomerName]-725D082E	7/1/2024	Virtual Network	1178.886257
[CustomerName]-D226A04D	4/1/2024	Azure Front Door Service	121436.7993
[CustomerName]-0DE7667B	7/1/2024	Azure Purview	333.7696314
[CustomerName]-02D80417	6/1/2024	Storage	199.9887653
[CustomerName]-9A49C9D4	4/1/2024	Azure Bastion	2132.084522
[CustomerName]-0DE7667B	11/1/2024	Virtual Machines Licenses	0
[CustomerName]-D1E775A0	2/1/2024	Key Vault	6.255702181
[CustomerName]-E5C3446F	5/1/2024	SQL Managed Instance	3716.5056
[CustomerName]-26E1FEA2	2/1/2024	Azure Cosmos DB	602.367619
[CustomerName]-D1E775A0	9/1/2024	Azure Monitor	156.28766
[CustomerName]-01FE71E8	12/1/2024	Azure DDOS Protection	2862.049181
[CustomerName]-50729A6B	7/1/2024	Azure Monitor	127.6995021
[CustomerName]-53475226	5/1/2024	Azure DNS	0.47
[CustomerName]-A6B2FA46	11/1/2024	Storage	7661.690344
[CustomerName]-D226A04D	4/1/2024	Azure Load Testing	378.5897405
[CustomerName]-26E1FEA2	1/1/2024	Azure DNS	17.45412409
[CustomerName]-FA630340	5/1/2024	Azure DNS	15.96350667
[CustomerName]-26E1FEA2	11/1/2024	VPN Gateway	48.00666759
[CustomerName]-02D80417	2/1/2024	Storage	195.6186126
[CustomerName]-CBA66E32	6/1/2024	Virtual Network	33.02385282
[CustomerName]-0DE7667B	6/1/2024	Key Vault	1.69846516
[CustomerName]-CD872C21	6/1/2024	Key Vault	1.94E-05
[CustomerName]-E5C3446F	5/1/2024	Network Watcher	0
[CustomerName]-01FE71E8	6/1/2024	Azure DevOps	483.4058751
[CustomerName]-E12862E5	10/1/2024	Backup	105.4900652
[CustomerName]-50729A6B	6/1/2024	Azure DevOps	8400.727742
[CustomerName]-CD872C21	3/1/2024	Log Analytics	1747.743453
[CustomerName]-01FE71E8	5/1/2024	Virtual Machines Licenses	1617.934039
[CustomerName]-D70A78C9	4/1/2024	IoT Hub	40.8
[CustomerName]-E12862E5	2/1/2024	Azure Monitor	1.478902984
[CustomerName]-26E1FEA2	4/1/2024	Event Hubs	322.8834381
[CustomerName]-0DE7667B	11/1/2024	Backup	24.31108846
[CustomerName]-D70A78C9	2/1/2024	Azure Data Factory v2	4273.000719
[CustomerName]-E5C3446F	2/1/2024	Sentinel	2187.227173
[CustomerName]-01FE71E8	2/1/2024	Event Hubs	123.1549163
[CustomerName]-D226A04D	6/1/2024	Content Delivery Network	43619.04887
[CustomerName]-17C145B4	8/1/2024	API Management	41.292
[CustomerName]-01FE71E8	7/1/2024	Azure Monitor	218.2292112
[CustomerName]-725D082E	9/1/2024	Microsoft Defender for Cloud	4904.310187
[CustomerName]-50729A6B	12/1/2024	Insight and Analytics	129.6
[CustomerName]-D70A78C9	9/1/2024	Redis Cache	284.7612633
[CustomerName]-D1E775A0	3/1/2024	Log Analytics	396.4709969
[CustomerName]-50729A6B	12/1/2024	Container Instances	0.816227492
[CustomerName]-50729A6B	12/1/2024	Azure DDOS Protection	9714.5568
[CustomerName]-A21812C1	3/1/2024	Load Balancer	17.20727632
[CustomerName]-CBA66E32	1/1/2024	Backup	134.3368332
[CustomerName]-01FE71E8	1/1/2024	Azure DevOps	149.5771097
[CustomerName]-DCB49AE5	9/1/2024	Azure Monitor	0
[CustomerName]-DCB49AE5	8/1/2024	Sentinel	0
[CustomerName]-D1E775A0	1/1/2024	Data Lake Store	0.206307717
[CustomerName]-FA630340	3/1/2024	Azure Databricks	19347.58993
[CustomerName]-A21812C1	3/1/2024	Azure Synapse Analytics	36.91686793
[CustomerName]-FA630340	6/1/2024	Microsoft Entra Domain Services	89.85851674
[CustomerName]-17C145B4	4/1/2024	Application Gateway	509.832
[CustomerName]-D1E775A0	6/1/2024	Key Vault	10.07079249
[CustomerName]-26E1FEA2	6/1/2024	Azure Databricks	12788.23846
[CustomerName]-D70A78C9	9/1/2024	Unassigned	73.96
[CustomerName]-D226A04D	3/1/2024	Event Grid	276.4026126
[CustomerName]-725D082E	12/1/2024	Azure Cosmos DB	3009.109541
[CustomerName]-E5C3446F	11/1/2024	Virtual Machines Licenses	591.6531846
[CustomerName]-0DE7667B	5/1/2024	Azure Cosmos DB	762.8242805
[CustomerName]-26E1FEA2	6/1/2024	Azure Front Door Service	1511.765759
[CustomerName]-E5C3446F	5/1/2024	Microsoft Defender for Cloud	1442.475908
[CustomerName]-0DE7667B	12/1/2024	Service Bus	499.3010224
[CustomerName]-50729A6B	2/1/2024	Event Hubs	67.65244525
[CustomerName]-01FE71E8	9/1/2024	Container Registry	53.90339618
[CustomerName]-D226A04D	11/1/2023	Azure Front Door Service	94825.13012
[CustomerName]-50729A6B	3/1/2024	Notification Hubs	200.2872528
[CustomerName]-D1E775A0	6/1/2024	Azure Database for MySQL	15.6997202
[CustomerName]-53475226	4/1/2024	Application Gateway	704.6424
[CustomerName]-D226A04D	11/1/2023	Automation	3867.676662
[CustomerName]-26E1FEA2	9/1/2024	Logic Apps	292.4444002
[CustomerName]-17C145B4	5/1/2024	Load Balancer	166.8748996
[CustomerName]-FA630340	9/1/2024	API Management	5461.498868
[CustomerName]-CBA66E32	1/1/2024	Virtual Network	33.23043174
[CustomerName]-E12862E5	10/1/2024	Virtual Machines Licenses	0
[CustomerName]-53475226	9/1/2024	API Management	44.352
[CustomerName]-725D082E	5/1/2024	Event Grid	7.067302247
[CustomerName]-01FE71E8	7/1/2024	Service Bus	0.002303047
[CustomerName]-26E1FEA2	1/1/2024	Azure Front Door Service	1623.510533
[CustomerName]-50729A6B	9/1/2024	Azure Data Factory v2	70.676235
[CustomerName]-50729A6B	9/1/2024	Azure DNS	400.3137523
[CustomerName]-50729A6B	2/1/2024	Virtual Network	3600.182771
[CustomerName]-50729A6B	5/1/2024	Virtual Machines Licenses	3233.054841
[CustomerName]-50729A6B	5/1/2024	Azure Database for MySQL	72.37250681
[CustomerName]-FA630340	11/1/2023	Azure Databricks	17203.02593
[CustomerName]-CD872C21	11/1/2023	Power BI Embedded	199.5412986
[CustomerName]-26E1FEA2	10/1/2024	Log Analytics	3074.049172
[CustomerName]-FA630340	2/1/2024	Logic Apps	992.1062753
[CustomerName]-D1E775A0	4/1/2024	VPN Gateway	30.90131905
[CustomerName]-26E1FEA2	3/1/2024	Backup	95.42431373
[CustomerName]-02D80417	5/1/2024	Logic Apps	173.9922309
[CustomerName]-01FE71E8	6/1/2024	Event Hubs	40.73041872
[CustomerName]-E5C3446F	1/1/2024	Microsoft Defender for Cloud	2689.848681
[CustomerName]-E5C3446F	8/1/2024	Azure Active Directory for External Identities	0
[CustomerName]-CBA66E32	8/1/2024	Azure DNS	0.468782914
[CustomerName]-53475226	1/1/2024	Load Balancer	17.40960099
[CustomerName]-26E1FEA2	3/1/2024	Azure Update Manager	0
[CustomerName]-725D082E	3/1/2024	Storage	12749.74208
[CustomerName]-01FE71E8	5/1/2024	Microsoft Entra Domain Services	104.4653558
[CustomerName]-CBA66E32	6/1/2024	Backup	147.3561267
[CustomerName]-26E1FEA2	9/1/2024	Azure Purview	38.06793531
[CustomerName]-01FE71E8	9/1/2024	Azure DNS	1.786339866
[CustomerName]-26E1FEA2	4/1/2024	Azure App Service	8768.112295
[CustomerName]-D226A04D	5/1/2024	Redis Cache	54856.47363
[CustomerName]-FA630340	10/1/2024	VPN Gateway	361.3695249
[CustomerName]-D226A04D	4/1/2024	Automation	3539.588364
[CustomerName]-9A49C9D4	11/1/2024	Azure Firewall	1434.414231
[CustomerName]-17C145B4	5/1/2024	Azure Bastion	7.59E-02
[CustomerName]-50729A6B	10/1/2024	Unassigned	3578.249295
[CustomerName]-26E1FEA2	5/1/2024	Virtual Machines	7806.600679
[CustomerName]-CD872C21	8/1/2024	SQL Database	5787.438278
[CustomerName]-53475226	3/1/2024	Azure App Service	280.8377016
[CustomerName]-9A49C9D4	11/1/2024	Bandwidth	969.2993761
[CustomerName]-FA630340	4/1/2024	Application Gateway	2753.941552
[CustomerName]-17C145B4	8/1/2024	Storage	2390.194322
[CustomerName]-0DE7667B	5/1/2024	Functions	731.3344475
[CustomerName]-26E1FEA2	3/1/2024	Azure Data Factory v2	1362.910578
[CustomerName]-D226A04D	1/1/2024	Azure App Service	404257.4425
[CustomerName]-26E1FEA2	7/1/2024	Redis Cache	288.4126761
[CustomerName]-D189DCD7	7/1/2024	Azure App Service	0
[CustomerName]-26E1FEA2	6/1/2024	Container Registry	18.4928426
[CustomerName]-D189DCD7	9/1/2024	API Management	135.36
[CustomerName]-E12862E5	11/1/2024	Backup	104.0296439
[CustomerName]-D226A04D	4/1/2024	Azure Cognitive Search	176940.2287
[CustomerName]-9A49C9D4	12/1/2024	ExpressRoute	4926.0488
[CustomerName]-53475226	8/1/2024	Logic Apps	3.688602128
[CustomerName]-FA630340	6/1/2024	Logic Apps	207.9601507
[CustomerName]-D226A04D	7/1/2024	Azure Data Factory v2	1066.159649
[CustomerName]-E12862E5	12/1/2024	Azure Monitor	1.514052251
[CustomerName]-0DE7667B	12/1/2024	Bandwidth	16.51424358
[CustomerName]-CD872C21	10/1/2023	Azure App Service	0
[CustomerName]-DCB49AE5	5/1/2024	Azure Bastion	0
[CustomerName]-FA630340	1/1/2024	Azure Bastion	229.1292211
[CustomerName]-02D80417	6/1/2024	SQL Database	1597.582613
[CustomerName]-26E1FEA2	8/1/2024	Load Balancer	45.47235514
[CustomerName]-50729A6B	9/1/2024	Azure Bot Service	3.40E-02
[CustomerName]-17C145B4	12/1/2023	Load Balancer	158.7123931
[CustomerName]-725D082E	1/1/2024	Event Grid	2.522104998
[CustomerName]-FA630340	9/1/2024	SQL Database	15933.90697
[CustomerName]-725D082E	10/1/2024	Container Registry	23.13115715
[CustomerName]-A6B2FA46	9/1/2024	Bandwidth	55.13895773
[CustomerName]-26E1FEA2	3/1/2024	Event Hubs	332.9176002
[CustomerName]-26E1FEA2	2/1/2024	Azure Databricks	0
[CustomerName]-725D082E	7/1/2024	Event Hubs	20.86790369
[CustomerName]-725D082E	6/1/2024	Virtual Machines	22897.13074
[CustomerName]-26E1FEA2	2/1/2024	Data Lake Analytics	189.8729638
[CustomerName]-50729A6B	9/1/2024	Container Registry	147.2315711
[CustomerName]-725D082E	12/1/2024	Load Balancer	71.56643384
[CustomerName]-D70A78C9	6/1/2024	Storage	35066.8722
[CustomerName]-E5C3446F	4/1/2024	Traffic Manager	0.000001863
[CustomerName]-D1E775A0	5/1/2024	Azure Bastion	132.4699741
[CustomerName]-50729A6B	9/1/2024	Azure Arc	846.526464
[CustomerName]-01FE71E8	8/1/2024	GitHub	904.4378555
[CustomerName]-50729A6B	4/1/2024	Azure Arc Enabled Databases	0
[CustomerName]-E12862E5	11/1/2024	Virtual Network	2.667037088
[CustomerName]-CD872C21	9/1/2023	Microsoft Defender for Cloud	55.37821596
[CustomerName]-D70A78C9	10/1/2023	Virtual WAN	727.9966554
[CustomerName]-A21812C1	2/1/2024	NAT Gateway	29.35144382
[CustomerName]-FA630340	11/1/2023	Functions	129.8874962
[CustomerName]-E5C3446F	7/1/2024	Machine Learning Studio	264.7878726
[CustomerName]-725D082E	1/1/2024	Azure Synapse Analytics	11120.52281
[CustomerName]-D1E775A0	7/1/2024	Logic Apps	393.6332633
[CustomerName]-E5C3446F	7/1/2024	Azure Stack Hub	188.449365
[CustomerName]-D1E775A0	12/1/2024	Bandwidth	4.604587968
[CustomerName]-D226A04D	4/1/2024	Virtual Machines	695297.9739
[CustomerName]-DCB49AE5	3/1/2024	Functions	0
[CustomerName]-D226A04D	12/1/2023	Azure Firewall	100046.5932
[CustomerName]-D226A04D	12/1/2023	Backup	158219.3438
[CustomerName]-D70A78C9	3/1/2024	Azure Grafana Service	110.9704
